EventTypeID,EventName,EventGroupID
0,"Неизвестное событие",1
1,"Синхронизация времени",1
2,"Сигнализация отключена",11
3,"Включена сигнализация",11
4,"Выключено реле",2
5,"Включено реле",2
6,"Единичный проход",2
7,"Неизвестный ключ",1
8,"Проход по ключам",3
9,"Проход запрещен",3
10,"Свободный проход",3
11,"Состояние изменилось на 0",4
12,"Состояние изменилось на 1",4
13,"Нажата кнопка",9
14,"Дверь закрыта",8
15,"Дверь открыта",8
16,"Взлом",8
17,"Дверь не закрыта",8
18,"Аварийная разблокировка двери",8
32,"Команда оператора: единичный проход",10
33,"Команда оператора: включить реле",10
34,"Команда оператора: выключить реле",10
35,"Команда оператора: проход по ключам",10
36,"Команда оператора: запретить проход",10
37,"Команда оператора: свободный проход",10
101,"Доступ запрещен, включена сигнализация",5
102,"Доступ запрещен, контроллер заблокирован",5
103,"Доступ запрещен",5
104,"Доступ запрещен, невозможно проверить правило, время не синхронизировано",5
105,"Доступ запрещен по правилу",5
106,"Доступ запрещен, нарушение режима antipassback",5
107,"Доступ запрещен, ошибка EEPROM",5
108,"Доступ запрещен, нет хозяина",5
109,"Доступ запрещен, утерянный ключ",5
110,"Доступ запрещен, ключ заблокирован",5
121,"Доступ разрешен, свободный выход",6
122,"Доступ разрешен по правилу",6
123,"Доступ разрешен",6
141,"Долгое касание, управление реле №2",7
142,"Долгое касание, управление реле №3",7
143,"Долгое касание, блокировка контроллера",7
144,"Долгое касание, разблокировка контроллера",7
145,"Долгое касание, свободный проход разрешен",7
146,"Долгое касание, свободный проход запрещен",7
147,"Долгое касание, управление ТТЛ выходом №1",7
148,"Долгое касание, управление ТТЛ выходом №2",7
170,"Проход не зафиксирован",8
201,"Пропало напряжение в сети ~220 В",13
202,"Появилось напряжение в сети ~220 В",13
203,"Разряжена АКБ блока питания",13
204,"Разряжена батарейка внутренних часов",13
205,"Отсутствует батарейка внутренних часов",13
256,"Пропала связь с устройством",1
257,"Связь восстановлена",1
258,"Программирование устройства",1
259,"Запись настроек в устройство",1
260,"Изменено состояние antipassback",10
261,"Ключ активирован",12
262,"Ключ заблокирован",12
263,"Добавлен новый ключ",12
38,"Команда оператора: постановка на охрану",10
39,"Команда оператора: снято с охраны",10
19,"Управление режимом охраны",4
20,"Тревога",11
21,"Шлейф замкнут",14
22,"Шлейф разомкнут",14
23,"Короткое замыкание",14
